OBJECTID,ID,NAME,TELEPHONE,ADDRESS,CITY,STATE,COUNTY,X,Y
3035,10771026,OHIO STATE HIGHWAY PATROL - MOUNT GILEAD PATROL POST 59,740-397-8191,3980 COUNTY ROAD 172,MOUNT GILEAD,OH,MORROW,-82.7182394,40.4940136
3036,10223129,POLLOCK POLICE DEPARTMENT,318-765-3796,3812 PATTERSON STREET,POLLOCK,LA,GRANT,-92.4062591,31.5254988
3037,10305435,TACOMA POLICE DEPARTMENT - SECTOR THREE,253-594-7838,1501 SOUTH 72ND STREET,TACOMA,WA,PIERCE,-122.4539266,47.1922006
3038,10422959,PERRYVILLE POLICE DEPARTMENT,410-642-3725,448 OTSEGO STREET,PERRYVILLE,MD,CECIL,-76.0735146,39.5611044
3039,10425221,WELLSVILLE POLICE DEPARTMENT,785-883-2691,730 MAIN STREET,WELLSVILLE,KS,FRANKLIN,-95.0822982,38.715348
3040,10223577,SILAS POLICE DEPARTMENT,251-542-9505,370 1ST STREET,SILAS,AL,CHOCTAW,-88.3290164,31.7688916
3041,10230075,PEMBINA COUNTY LAW ENFORCEMENT CENTER,701-265-4122,308 COURT HOUSE DRIVE,CAVALIER,ND,PEMBINA,-97.6257557,48.7907846
3042,10769876,L'ANSE POLICE DEPARTMENT,906-524-6150,101 NORTH MAIN STREET,LANSE,MI,BARAGA,-88.4534651,46.7581441
3043,10833945,CONNECTICUT STATE POLICE TROOP L - LITCHFIELD RESIDENT STATE TROOPER,860-567-8596,74 WEST STREET,LITCHFIELD,CT,LITCHFIELD,-73.1927481,41.7473531
3044,10223378,COURTLAND POLICE DEPARTMENT,256-637-2701,271 ALABAMA STREET,COURTLAND,AL,LAWRENCE,-87.3114974,34.6667434
3045,10838867,MICHIGAN STATE POLICE DISTRICT 8 POST 84 - MUNISING,906-387-4551,414 EAST MUNISING AVENUE,MUNISING,MI,ALGER,-86.6496708,46.4091707
3046,10220856,RANGELEY POLICE DEPARTMENT,207-864-3579,15 SCHOOL STREET,RANGELEY,ME,FRANKLIN,-70.6467114,44.9696032
3047,10833890,CONNECTICUT STATE POLICE TROOP A - BRIDGEWATER RESIDENT STATE TROOPER,860-355-9375,132 HUT HILL ROAD,BRIDGEWATER,CT,LITCHFIELD,-73.3583215,41.5271226
3048,10223351,BRILLIANT POLICE DEPARTMENT,205-465-2254,1060 MAIN STREET,BRILLIANT,AL,MARION,-87.7606739,34.024279
3049,10223339,BEAR CREEK POLICE DEPARTMENT,205-486-4707,341 MAIN STREET,BEAR CREEK,AL,MARION,-87.7006749,34.2757162
3050,10223441,HACKLEBURG POLICE DEPARTMENT,205-935-5195,405 WALKER STREET,HACKLEBURG,AL,MARION,-87.8279945,34.2758539
3051,10223386,DAUPHIN ISLAND POLICE DEPARTMENT,251-861-5523,1015 DESOTO AVENUE,DAUPHIN ISLAND,AL,MOBILE,-88.1138088,30.2570483
3052,10223319,ALEXANDER CITY POLICE DEPARTMENT,256-329-6743,1 COURT SQUARE,ALEXANDER CITY,AL,TALLAPOOSA,-85.9538803,32.9436743
3053,10422899,MARYLAND STATE POLICE BARRACK B - FREDERICK,301-644-4151,110 AIRPORT DRIVE EAST,FREDERICK,MD,FREDERICK,-77.3751938,39.4071114
3054,10026373,COLEMAN COUNTY CONSTABLE - PRECINCT 1,325-625-4218,100 WEST LIVEOAK STREET,COLEMAN,TX,COLEMAN,-99.4230458,31.8314229
3055,10223118,PORT VINCENT POLICE DEPARTMENT,225-698-6115,18235 STATE HIGHWAY 16,PORT VINCENT,LA,LIVINGSTON,-90.843591,30.334978
3056,10223190,BLANCHARD POLICE DEPARTMENT,318-929-3700,314 ALEXANDER AVENUE,SHREVEPORT,LA,CADDO,-93.8907327,32.5834167
3057,10833913,DERBY POLICE DEPARTMENT,203-735-7812,125 WATER STREET,DERBY,CT,NEW HAVEN,-73.0862342,41.3223251
3058,10833946,MADISON POLICE DEPARTMENT,203-245-2721,9 CAMPUS DRIVE,MADISON,CT,NEW HAVEN,-72.5750111,41.2973879
3059,10770699,PERRY TOWNSHIP POLICE DEPARTMENT,937-833-5487,3025 JOHNSVILLE BROOKVILLE ROAD,BROOKVILLE,OH,MONTGOMERY,-84.4237161,39.7890071
3060,10769754,ESSEXVILLE DEPARTMENT OF PUBLIC SAFETY,989-892-2541,1107 WOODSIDE AVENUE,ESSEXVILLE,MI,BAY,-83.8452381,43.614167
3061,10836600,SOUTHMAYD POLICE DEPARTMENT,903-868-1212,4605 ELEMENTARY DRIVE,SOUTHMAYD,TX,GRAYSON,-96.7700725,33.629195
3062,10769810,HAMPTON TOWNSHIP POLICE DEPARTMENT,989-892-0571,745 WEST CENTER ROAD,ESSEXVILLE,MI,BAY,-83.8088098,43.5936625
3063,10770010,PINCONNING POLICE DEPARTMENT,989-879-4270,208 SOUTH MANITOU STREET,PINCONNING,MI,BAY,-83.9624311,43.856219
3064,10833883,CONNECTICUT STATE POLICE TROOP L - BETHLEHEM RESIDENT STATE TROOPER,203-266-7405,36 MAIN STREET SOUTH,BETHLEHEM,CT,LITCHFIELD,-73.2094251,41.6371574
3065,11531971,NOXUBEE COUNTY SHERIFFS DEPARTMENT,662-726-5133,505 SOUTH JEFFERSON STREET,MACON,MS,NOXUBEE,-88.5605963,33.1056968
3066,11531903,VICKSBURG POLICE DEPARTMENT,601-636-2511,820 VETO STREET,VICKSBURG,MS,WARREN,-90.8807663,32.3463524
3067,10769944,MISSAUKEE COUNTY SHERIFFS OFFICE / MISSAUKEE COUNTY JAIL,231-839-4338,110 SOUTH PINE STREET,LAKE CITY,MI,MISSAUKEE,-85.2130045,44.3333046
3068,10769379,CULPEPER COUNTY SHERIFFS OFFICE,540-727-7520,132 WEST DAVIS STREET,CULPEPER,VA,CULPEPER,-77.9966637,38.4737361
3069,10833961,NEW HAVEN POLICE DEPARTMENT,203-946-6255,1 UNION AVENUE,NEW HAVEN,CT,NEW HAVEN,-72.9252218,41.3000915
3070,10220819,PLEASANT POINT PASSAMAQUODDY RESERVATION POLICE DEPARTMENT,207-853-2551,40 WARRIOR ROAD,PERRY,ME,WASHINGTON,-67.0465881,44.9557924
3071,10770247,NORTHWEST STATE COMMUNITY COLLEGE POLICE DEPARTMENT,419-267-5511,22600 STATE ROUTE 34,ARCHBOLD,OH,HENRY,-84.2984223,41.4507819
3072,10425204,VALLEY CENTER POLICE DEPARTMENT,316-755-7325,616 EAST FIFTH STREET,VALLEY CENTER,KS,SEDGWICK,-97.36529,37.8397955
3073,10290521,FIRCREST POLICE DEPARTMENT,253-565-1198,302 REGENTS BOULEVARD,FIRCREST,WA,PIERCE,-122.5098153,47.235178
3074,10769367,BUCHANAN COUNTY SHERIFFS OFFICE,276-935-6036,1032 WALNUT STREET,GRUNDY,VA,BUCHANAN,-82.0992623,37.2777754
3075,10223084,CROWLEY POLICE DEPARTMENT,337-788-4114,426 NORTH AVENUE F,CROWLEY,LA,ACADIA,-92.3737695,30.212873
3076,10769227,CHARLOTTESVILLE POLICE DEPARTMENT,434-970-3280,606 EAST MARKET STREET,CHARLOTTESVILLE,VA,CHARLOTTESVILLE CITY,-78.4773977,38.0298944
3077,10223313,ABBEVILLE POLICE DEPARTMENT,334-585-2222,101 EAST WASHINGTON STREET,ABBEVILLE,AL,HENRY,-85.2490995,31.5717714
3078,10223132,SPRINGFIELD POLICE DEPARTMENT,225-294-2205,27378 STATE HIGHWAY 42,SPRINGFIELD,LA,LIVINGSTON,-90.5508207,30.4295896
3079,10422906,PORT DEPOSIT POLICE DEPARTMENT,410-378-2129,64 SOUTH MAIN STREET,PORT DEPOSIT,MD,CECIL,-76.1131799,39.6029355
3080,10423004,WALKERSVILLE POLICE DEPARTMENT,301-898-0200,21 WEST FREDERICK STREET,WALKERSVILLE,MD,FREDERICK,-77.3511939,39.4822444
3081,10422947,CENTREVILLE POLICE DEPARTMENT,410-758-8437,420 NORTH COMMERCE STREET,CENTREVILLE,MD,QUEEN ANNES,-76.0627182,39.0470914
3082,10223060,COLFAX POLICE DEPARTMENT,318-627-3711,1208 MAIN STREET,COLFAX,LA,GRANT,-92.6991009,31.5214801
3083,10223099,TULANE UNIVERSITY HEALTH SCIENCE CENTER PUBLIC SAFETY - DOWNTOWN CAMPUS,504-568-2311,1430 TULANE AVENUE,NEW ORLEANS,LA,ORLEANS,-90.0768851,29.9551664
3084,10769337,PORT AUTHORITY OF NEW YORK AND NEW JERSEY - TETERBORO AIRPORT,201-288-2761,121 BILLY DIEHL ROAD,TETERBORO,NJ,BERGEN,-74.0668883,40.8407637
3085,10223470,JEMISON POLICE DEPARTMENT,205-688-4491,24747 UNITED STATES HIGHWAY 31,JEMISON,AL,CHILTON,-86.7440872,32.9597638
3086,10222880,WHITE SPRINGS POLICE DEPARTMENT,386-397-2222,10363 BRIDGE STREET,WHITE SPRINGS,FL,HAMILTON,-82.7594887,30.3293105
3087,10220778,WALDOBORO POLICE DEPARTMENT,207-832-4500,1600 ATLANTIC HIGHWAY,WALDOBORO,ME,LINCOLN,-69.3791844,44.1031251
3088,10223010,GILBERT POLICE DEPARTMENT,318-435-6506,7564 GILBERT STREET,GILBERT,LA,FRANKLIN,-91.6586696,32.0503776
3089,10223376,COOSADA POLICE DEPARTMENT,334-285-3700,5800 COOSADA ROAD,COOSADA,AL,ELMORE,-86.3338847,32.4980072
3090,10220691,WARREN POLICE DEPARTMENT,401-245-1311,1 JOYCE STREET,WARREN,RI,BRISTOL,-71.2811339,41.7290829
3091,10220730,WEST WARWICK POLICE DEPARTMENT,401-821-4323,1162 MAIN STREET,WEST WARWICK,RI,KENT,-71.5227418,41.7067828
3092,10833623,CHENANGO COUNTY SHERIFFS OFFICE / CHENANGO COUNTY JAIL,607-334-2000,279 COUNTY ROUTE 46,NORWICH,NY,CHENANGO,-75.5393947,42.5071081
3093,10220718,NORTH PROVIDENCE POLICE DEPARTMENT,401-231-1433,1967 MINERAL SPRING AVENUE,NORTH PROVIDENCE,RI,PROVIDENCE,-71.4704588,41.8604054
3094,10220755,SACO POLICE DEPARTMENT,207-284-4535,20 STORER STREET,SACO,ME,YORK,-70.4475094,43.4978166
3095,10833980,PORTLAND POLICE DEPARTMENT,860-342-6780,265 MAIN STREET,PORTLAND,CT,MIDDLESEX,-72.6385278,41.5752411
3096,10305106,VANCOUVER POLICE DEPARTMENT - WEST PRECINCT,360-487-3755,2800 NORTHEAST STAPLETON ROAD,VANCOUVER,WA,CLARK,-122.6173001,45.6423117
3097,10173161,CREMER THERAPEUTIC COMMUNITY CENTER,573-592-4013,689 STATE HIGHWAY O,FULTON,MO,CALLAWAY,-91.9383063,38.8444377
3098,10309085,KANABEC COUNTY SHERIFF / KANABEC COUNTY JAIL,320-679-8400,18 NORTH VINE STREET,MORA,MN,KANABEC,-93.294466,45.8771976
3099,10760656,MCEWEN POLICE DEPARTMENT,931-582-6211,9586 UNITED STATES HIGHWAY 70 EAST,MCEWEN,TN,HUMPHREYS,-87.6334372,36.1077927
3100,10309055,FARIBAULT COUNTY SHERIFFS DEPARTMENT / FARIBAULT COUNTY JAIL,507-526-5148,125 WEST 2ND STREET,BLUE EARTH,MN,FARIBAULT,-94.1030746,43.6425203
3101,10770290,OHIO STATE HIGHWAY PATROL - DAYTON PATROL POST 57,937-832-4794,400 SMITH DRIVE,CLAYTON,OH,MONTGOMERY,-84.3254264,39.8562295
3102,10223399,ELKMONT POLICE DEPARTMENT,256-732-4211,18890 UPPER FORT HAMPTON ROAD,ELKMONT,AL,LIMESTONE,-86.9729284,34.9288801
3103,10305349,PORT TOWNSEND POLICE DEPARTMENT,360-385-2322,607 WATER STREET,PORT TOWNSEND,WA,JEFFERSON,-122.7535794,48.1154084
3104,10223945,EMERADO POLICE DEPARTMENT,701-594-5100,102 EAST OLDHAM AVENUE,EMERADO,ND,GRAND FORKS,-97.3696437,47.9173965
3105,10223634,WOODVILLE POLICE DEPARTMENT,256-776-2860,29923 STATE HIGHWAY 35,WOODVILLE,AL,JACKSON,-86.2719258,34.6260692
3106,10223012,DELCAMBRE POLICE DEPARTMENT,337-685-2697,106 SOUTH RAILROAD STREET,DELCAMBRE,LA,VERMILION,-91.9911148,29.9488596
3107,10223210,GEORGETOWN POLICE DEPARTMENT,318-827-5400,4570 STATE HIGHWAY 500,GEORGETOWN,LA,GRANT,-92.3836038,31.7615433
3108,10223029,SIBLEY POLICE DEPARTMENT,318-377-0345,345 NORTH MAIN STREET,SIBLEY,LA,WEBSTER,-93.2952527,32.5423842
3109,10223466,JACKSON POLICE DEPARTMENT,251-246-4484,118 COLLEGE AVENUE,JACKSON,AL,CLARKE,-87.8928872,31.510716
3110,10223232,LEVEE DISTRICT POLICE,318-323-7446,505 DISTRICT ROAD,MONROE,LA,OUACHITA,-92.1088438,32.4487284
3111,10833988,CONNECTICUT STATE POLICE TROOP A - ROXBURY RESIDENT STATE TROOPER,860-354-0089,29 NORTH STREET,ROXBURY,CT,LITCHFIELD,-73.3109402,41.5608294
3112,10833898,CLINTON POLICE DEPARTMENT,860-669-0451,170 EAST MAIN STREET,CLINTON,CT,MIDDLESEX,-72.5126302,41.2754505
3113,10220769,BRUNSWICK POLICE DEPARTMENT,207-725-5521,28 FEDERAL STREET,BRUNSWICK,ME,CUMBERLAND,-69.9640885,43.916756
3114,10220746,BIDDEFORD POLICE DEPARTMENT,207-282-5127,39 ALFRED STREET,BIDDEFORD,ME,YORK,-70.4540495,43.4917564
3115,10220696,BRISTOL POLICE DEPARTMENT,401-253-6900,395 METACOM AVENUE,BRISTOL,RI,BRISTOL,-71.2607492,41.679229
3116,10770645,NEW ATHENS POLICE DEPARTMENT,740-968-6181,162 SOUTH MAIN STREET,NEW ATHENS,OH,HARRISON,-80.9956697,40.1846113
3117,10834005,THOMASTON POLICE DEPARTMENT,860-283-4343,158 MAIN STREET,THOMASTON,CT,LITCHFIELD,-73.0752368,41.6729861
3118,10027043,CHAMBERS COUNTY CONSTABLE - PRECINCT 2,409-267-8233,201 NORTH COURT,ANAHUAC,TX,CHAMBERS,-94.6851202,29.7700586
3119,10423556,13TH JUDICIAL CIRCUIT COURT MARSHALS OFFICE,573-886-4079,705 EAST WALNUT STREET,COLUMBIA,MO,BOONE,-92.3291425,38.9529102
3120,10837618,SPRINGFIELD POLICE DEPARTMENT,603-763-4805,759 MAIN STREET,SPRINGFIELD,NH,SULLIVAN,-72.0474706,43.4930428
3121,10309093,LE SUEUR COUNTY SHERIFF / LE SUEUR COUNTY JAIL,507-357-4440,88 SOUTH PARK AVENUE,LE CENTER,MN,LE SUEUR,-93.7319239,44.3878387
3122,10222231,ALTOONA POLICE DEPARTMENT,515-967-5132,700 1ST AVENUE SOUTH,ALTOONA,IA,POLK,-93.4649997,41.6452832
3123,10769076,EMORY AND HENRY COLLEGE POLICE DEPARTMENT,276-944-6890,30552 GARNAND DRIVE,MEADOWVIEW,VA,WASHINGTON,-81.8291056,36.7728888
3124,10223517,MOUNDVILLE POLICE DEPARTMENT,205-371-2218,410 MARKET STREET,MOUNDVILLE,AL,HALE,-87.6302749,32.998219
3125,10223092,FORDOCHE POLICE DEPARTMENT,225-637-3038,5390 FORDOCHE ROAD,FORDOCHE,LA,POINTE COUPEE,-91.605183,30.5926931
3126,10222220,RED OAK POLICE DEPARTMENT,712-623-6500,601 NORTH 6TH STREET,RED OAK,IA,MONTGOMERY,-95.2258288,41.0099162
3127,10221954,REMSEN POLICE DEPARTMENT,712-786-2299,109 FULTON STREET,REMSEN,IA,PLYMOUTH,-95.9716003,42.8156076
3128,10770490,GENOA POLICE DEPARTMENT,419-855-8515,102 EAST 6TH STREET,GENOA,OH,OTTAWA,-83.3577477,41.5185447
3129,10220868,CARRABASSETT VALLEY POLICE DEPARTMENT,207-237-3200,9000 MAIN STREET,CARRABASSETT VALLEY,ME,FRANKLIN,-70.3103381,45.053801
3130,10222336,HOWEY IN THE HILLS POLICE DEPARTMENT,352-324-2030,111 NORTH PALM AVENUE,HOWEY IN THE HILLS,FL,LAKE,-81.773266,28.7143258
3131,10222411,SAINT PETERSBURG POLICE DEPARTMENT,727-893-7780,1300 1ST AVENUE NORTH,SAINT PETERSBURG,FL,PINELLAS,-82.6523102,27.7717696
3132,10223958,KULM POLICE DEPARTMENT,701-647-2451,10 1ST STREET SOUTHWEST,KULM,ND,LAMOURE,-98.949994,46.3018611
3133,10223475,LAFAYETTE POLICE DEPARTMENT,334-864-2211,50 ALABAMA AVENUE WEST,LAFAYETTE,AL,CHAMBERS,-85.4023504,32.899991
3134,10837642,NEW DURHAM POLICE DEPARTMENT,603-859-2752,4 MAIN STREET,NEW DURHAM,NH,STRAFFORD,-71.1639099,43.4346971
3135,10223340,BERRY POLICE DEPARTMENT,205-689-4562,30 SCHOOL AVENUE,BERRY,AL,FAYETTE,-87.6002833,33.6601068
3136,10220704,EAST PROVIDENCE POLICE DEPARTMENT,401-435-7600,750 WATERMAN AVENUE,EAST PROVIDENCE,RI,PROVIDENCE,-71.3529922,41.8150651
3137,10769254,FREDERICKSBURG POLICE DEPARTMENT,540-373-3122,2200 COWAN BOULEVARD,FREDERICKSBURG,VA,FREDERICKSBURG CITY,-77.4881875,38.3038593
3138,10769347,FREDERICKSBURG CITY SHERIFFS OFFICE,540-372-1056,531 PRINCE EDWARD STREET,FREDERICKSBURG,VA,FREDERICKSBURG CITY,-77.4587229,38.298275
3139,10026291,GEORGIA FORESTRY COMMISSION,478-751-3500,5645 RIGGINS MILL ROAD,DRY BRANCH,GA,BIBB,-83.5389145,32.8060055
3140,10769241,CULPEPER POLICE DEPARTMENT,540-727-3430,130 WEST CAMERON STREET,CULPEPER,VA,CULPEPER,-77.9968473,38.4744545
3141,10836583,GONZALES COUNTY CONSTABLE - PRECINCT 3,830-672-6524,1713 EAST SARAH DEWITT DRIVE,GONZALES,TX,GONZALES,-97.4434764,29.5235221
3142,10424814,FLORENCE POLICE DEPARTMENT,620-878-4296,511 MAIN STREET,FLORENCE,KS,MARION,-96.926616,38.2426832
3143,10222719,EUSTIS POLICE DEPARTMENT,352-357-4121,51 EAST NORTON AVENUE,EUSTIS,FL,LAKE,-81.6848149,28.8461614
3144,10448865,FULTON STATE HOSPITAL,573-592-4100,600 EAST 5TH STREET,FULTON,MO,CALLAWAY,-91.9377612,38.8469518
3145,10423496,MISSOURI OF DIVISION OF ALCOHOL AND TOBACCO CONTROL - DISTRICT III,314-340-6835,111 NORTH 7TH STREET,SAINT LOUIS,MO,ST LOUIS CITY,-90.1922809,38.6272198
3146,10769307,RICHMOND POLICE DEPARTMENT,804-646-6700,200 WEST GRACE STREET,RICHMOND,VA,RICHMOND CITY,-77.4445121,37.54622
3147,10837826,VIRGINIA STATE POLICE DIVISION 3 AREA 17 - STAUNTON,540-885-2142,811 COMMERCE ROAD,STAUNTON,VA,STAUNTON CITY,-79.0474599,38.1604292
3148,10223977,STANLEY POLICE DEPARTMENT,701-628-2225,221 SOUTH MAIN STREET,STANLEY,ND,MOUNTRAIL,-102.3901248,48.316575
3149,10769952,MORRICE POLICE DEPARTMENT,517-625-3430,401 NORTH MAIN STREET,MORRICE,MI,SHIAWASSEE,-84.1783086,42.8389756
3150,10769558,DURAND POLICE DEPARTMENT,989-288-3113,215 WEST CLINTON STREET,DURAND,MI,SHIAWASSEE,-83.9872333,42.9125177
3151,10305457,WALLA WALLA POLICE DEPARTMENT,509-527-4434,15 NORTH THIRD AVENUE,WALLA WALLA,WA,WALLA WALLA,-118.3413448,46.0666509
3152,10423003,LAUREL CITY POLICE DEPARTMENT,301-498-0092,350 MUNICIPAL SQUARE,LAUREL,MD,PRINCE GEORGES,-76.844915,39.1059547
3153,10423009,CAPITOL HEIGHTS POLICE DEPARTMENT,301-420-2444,401 CAPITOL HEIGHTS BOULEVARD,CAPITOL HEIGHTS,MD,PRINCE GEORGES,-76.913991,38.8844808
3154,10223122,NICHOLLS STATE UNIVERSITY POLICE DEPARTMENT,985-448-4746,MADEWOOD DRIVE,THIBODAUX,LA,LAFOURCHE,-90.8043269,29.7888772
3155,10836750,HILL COUNTY CONSTABLE - PRECINCT 1,254-582-4040,200 EAST FRANKLIN STREET,HILLSBORO,TX,HILL,-97.1281635,32.0114506
3156,10223633,WOODSTOCK POLICE DEPARTMENT,205-938-9790,28573 STATE HIGHWAY 5,WOODSTOCK,AL,BIBB,-87.1611158,33.2105134
3157,10424956,FORT HAYS STATE UNIVERSITY POLICE DEPARTMENT,785-628-5304,420 CUSTER DRIVE,HAYS,KS,ELLIS,-99.3407617,38.8706001
3158,10425063,MAIZE UNIFIED SCHOOL DISTRICT NUMBER 266 POLICE DEPARTMENT,316-773-1674,11600 WEST 45TH STREET NORTH,MAIZE,KS,SEDGWICK,-97.4746554,37.7662045
3159,10425068,MARYSVILLE POLICE DEPARTMENT,785-562-2343,207 SOUTH 10TH STREET,MARYSVILLE,KS,MARSHALL,-96.646016,39.8404351
3160,10026738,POMONA UNIFIED SCHOOL DISTRICT SECURITY,909-629-7797,800 SOUTH GAREY AVENUE,POMONA,CA,LOS ANGELES,-117.7491604,34.0518604
3161,10826299,VIRGINIA STATE POLICE DIVISION 2 AREA 15 - CULPEPPER,540-829-7415,15139 STATE POLICE ROAD,CULPEPER,VA,CULPEPER,-77.9261695,38.4944873
3162,10769257,GALAX POLICE DEPARTMENT,276-236-8101,353 NORTH MAIN STREET,GALAX,VA,GALAX CITY,-80.9250061,36.6629804
3163,10769394,GRAYSON COUNTY SHERIFFS OFFICE,276-773-3241,124 DAVIS STREET,INDEPENDENCE,VA,GRAYSON,-81.1508148,36.622637
3164,10027035,JONES COUNTY CONSTABLE - PRECINCT 1,325-823-3761,100 COMMERCIAL AVENUE,ANSON,TX,JONES,-99.8968232,32.7564326
3165,10222855,CENTER HILL CITY POLICE DEPARTMENT,352-793-4609,94 SOUTH VIRGINIA AVENUE,CENTER HILL,FL,SUMTER,-81.997269,28.6481619
